A,B,C,D
1.0,21.0,-7.879999999403953,375.23
2.0,18.0,-3.6300000143051143,315.1999999988079
3.0,1.0,0.28000001192092894,-24.990000000670552
4.0,0.0,4.280000011920929,-44.70999999761582
5.0,27.0,8.299999992847443,495.0599999982119
6.0,37.0,12.199999998807908,695.2500000107289
7.0,0.0,16.28000001192093,-44.74999998927117
8.0,25.0,20.180000002980233,455.29999999284746
9.0,24.0,24.290000002384186,434.98
10.0,28.0,28.01999999910593,515.23
11.0,34.0,32.19999999880791,635.3500000047684
12.0,28.0,36.23,515.0700000035763
13.0,6.0,40.23,75.32999999403954
14.0,0.0,44.150000001788136,-44.810000006556514
15.0,26.0,48.21000000417232,475.3500000047684
16.0,13.0,52.16999999761581,215.21000000417231
17.0,4.0,56.13000000596046,35.16999999761581
18.0,24.0,60.26000000119209,435.18000000298025
19.0,5.0,64.31000001311301,55.13999999642372
20.0,26.0,68.0999999973178,475.00999999932947
21.0,10.0,72.0399999986589,154.99999999955295
22.0,27.0,76.36999998569489,495.1999999988079
23.0,27.0,80.35999999523163,495.05000000029804
24.0,37.0,84.23,695.1399999964237
25.0,31.0,88.13000000596047,575.0999999973178
26.0,13.0,92.26999999165535,215.18000000298022
27.0,5.0,96.21999999463559,55.29000000238418
28.0,18.0,99.98,315.08000000149013
29.0,33.0,104.23999999046326,615.2600000011921
30.0,9.0,108.07000000357628,135.18999999344348
31.0,33.0,112.08000000149012,614.98
32.0,16.0,116.18000000298024,275.3200000035763
33.0,8.0,120.32000000357628,115.07000000357628
34.0,22.0,124.01999999910593,395.28000001192095
35.0,22.0,128.23999999046328,394.9899999997765
36.0,20.0,132.21999999463557,355.28000001192095
37.0,31.0,136.07000000357627,575.1099999952316
38.0,37.0,140.1699999976158,695.2100000041723
39.0,37.0,144.29000000238418,695.2699999916554
40.0,16.0,148.10999999523162,275.05000000029804
41.0,32.0,152.26000000119208,595.310000013113
42.0,22.0,156.25000001072883,395.1600000071526
43.0,38.0,160.1999999988079,715.019999999106
44.0,18.0,163.98999999977647,315.00999999932947
45.0,36.0,168.310000013113,675.2100000041723
46.0,3.0,172.0800000014901,15.199999998807908
47.0,2.0,176.21000000417231,-4.780000005364418
48.0,25.0,180.18999999344348,455.23
49.0,20.0,184.25000001072883,355.26999999165537
50.0,37.0,188.18000000298022,695.0700000035763
51.0,28.0,192.01999999910592,515.0800000014901
52.0,18.0,195.99999999955295,315.18000000298025
53.0,39.0,199.98,735.0800000014901
54.0,27.0,204.1999999988079,495.32999999403955
55.0,22.0,208.0800000014901,395.2199999946356
56.0,0.0,212.21999999463557,-44.86999999403954
57.0,8.0,216.07000000357627,115.29000000238419
58.0,34.0,221.0,635.3299999940396
59.0,7.0,224.23999999046325,95.07000000357628
60.0,22.0,228.0800000014901,395.01999999910595
61.0,7.0,232.32999999403953,95.31000001311303
62.0,20.0,236.36999998569488,355.23
63.0,4.0,240.13000000596045,35.280000011920926
64.0,30.0,244.28000001192092,555.0999999973178
65.0,6.0,248.09999999731778,75.15000000178814
66.0,36.0,252.36999998569488,675.280000011921
67.0,10.0,256.3500000047684,155.07000000357627
68.0,6.0,260.16999999761583,75.23
69.0,4.0,264.01999999910595,35.29000000238418
70.0,15.0,267.98,255.3400000143051
71.0,8.0,272.28000001192095,115.13999999642373
72.0,13.0,276.2600000011921,215.310000013113
73.0,9.0,280.08000000149013,135.1999999988079
74.0,4.0,284.0700000035763,35.13000000596046
75.0,25.0,288.08000000149013,455.16999999761583
76.0,25.0,292.1300000059605,455.2199999946356
77.0,39.0,296.31000001311304,735.1399999964237
78.0,9.0,300.3500000047684,135.36999998569488
79.0,38.0,304.1999999988079,715.0800000014901
80.0,8.0,308.3500000047684,115.23999999046326
81.0,27.0,312.18000000298025,495.29999999284746
82.0,7.0,316.12000000059606,95.19999999880791
83.0,22.0,320.15000000178816,395.0700000035763
84.0,9.0,324.34000001430513,135.35000000476836
85.0,2.0,328.089999999404,-4.659999985694885
86.0,38.0,332.10999999523165,714.98
87.0,27.0,336.01999999910595,495.0999999973178
88.0,30.0,339.98,555.2999999928475
89.0,8.0,344.23,115.21999999463559
90.0,1.0,348.0399999986589,-24.919999998509883
91.0,30.0,352.34000001430513,555.1099999952316
92.0,0.0,356.1300000059605,-44.65999998569489
93.0,28.0,360.089999999404,515.0999999973178
94.0,14.0,363.9899999997765,235.07000000357627
95.0,34.0,368.1300000059605,635.1699999976158
96.0,16.0,372.25000001072885,275.01999999910595
97.0,1.0,376.05000000029804,-24.709999997615814
98.0,6.0,380.089999999404,74.98999999977649
99.0,29.0,383.98,535.1200000005961
100.0,22.0,388.08000000149013,395.12000000059606
